"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
BUSD,Binance,BUSD/USDT,1012343474.8500000000000,"2021-05-31T16:58:54.000Z"
BUSD,PancakeSwap (V2),BUSD/USDT,53446325.6426105500000,"2021-05-31T16:57:10.000Z"
BUSD,VCC Exchange,BUSD/USDT,15438151.9391585800000,"2021-05-31T16:57:13.000Z"
BUSD,BKEX,BUSD/USDT,9507825.7083000000000,"2021-05-31T16:57:11.000Z"
BUSD,Binance.US,BUSD/USD,4778837.5189000000000,"2021-05-31T16:58:53.000Z"
BUSD,DODO BSC,BUSD/USDT,2050060.6791797000000,"2021-05-31T16:48:19.000Z"
BUSD,LocalTrade,BUSD/USDT,2021170.9083837200000,"2021-05-31T16:57:39.000Z"
BUSD,Binance.US,BUSD/USDT,1565624.8856375100000,"2021-05-31T16:58:53.000Z"
BUSD,Gate.io,BUSD/USDT,520634.3585306200000,"2021-05-31T16:49:54.000Z"
BUSD,OpenOcean,BUSD/USDT,409987.7444714400000,"2021-05-31T16:48:07.000Z"
BUSD,Coinsbit,BUSD/USDT,289421.9670610300000,"2021-05-31T16:57:11.000Z"
BUSD,OceanEx,BUSD/USDT,231014.3300000000000,"2021-05-31T16:57:11.000Z"
BUSD,MXC.COM,BUSD/USDT,220126.5300000000000,"2021-05-31T16:57:14.000Z"
BUSD,Bilaxy,BUSD/USDT,202143.4300000000000,"2021-05-31T16:54:07.000Z"
BUSD,ViteX,BUSD/USDT,153251.3033336700000,"2021-05-31T16:57:07.000Z"
BUSD,Hoo,BUSD/USDT,41906.4300000000000,"2021-05-31T16:57:10.000Z"
BUSD,CoinTiger,BUSD/USDT,40387.9945659500000,"2021-05-31T16:57:10.000Z"
BUSD,Azbit,BUSD/USDT,22368.8500000000000,"2021-05-31T16:57:12.000Z"
BUSD,DODO BSC,BUSD/USDC,19724.9249631300000,"2021-05-31T16:54:16.000Z"
BUSD,WazirX,BUSD/USDT,15931.7800000000000,"2021-05-31T16:57:12.000Z"
BUSD,Folgory,BUSD/USDT,13611.2106950000000,"2021-05-31T16:57:10.000Z"
BUSD,CoinDCX,BUSD/USDT,7386.6299029400000,"2021-05-31T16:57:13.000Z"
BUSD,Poloniex,BUSD/USDT,6277.9186829000000,"2021-05-31T16:58:53.000Z"
BUSD,BiKi,BUSD/USDT,3185.7300000000000,"2021-05-31T16:57:13.000Z"
BUSD,CEX.IO,BUSD/USDT,1261.8155100000000,"2021-05-31T16:57:07.000Z"
DAI,MDEX(BSC),DAI/USDT,8286217.2360759900000,"2021-05-31T16:48:08.000Z"
DAI,DODO,DAI/USDT,3815105.5148869100000,"2021-05-31T16:48:08.000Z"
DAI,"0x Protocol",DAI/USDC,2572967.5770514200000,"2021-05-31T16:54:20.000Z"
DAI,"1inch Exchange",DAI/USDC,1986139.6764410200000,"2021-05-31T16:54:24.000Z"
DAI,Curve Finance,DAI/SUSD,1519683.7102935700000,"2021-05-31T16:54:11.000Z"
DAI,Xtheta Global,DAI/USDT,1124508.2976294700000,"2021-05-31T16:48:07.000Z"
DAI,"1inch Exchange",DAI/USDT,813167.7160234700000,"2021-05-31T16:48:25.000Z"
DAI,"0x Protocol",DAI/USDT,738083.6369383600000,"2021-05-31T16:48:11.000Z"
DAI,XT.COM,DAI/USDT,593321.7200000000000,"2021-05-31T16:48:09.000Z"
DAI,QuickSwap,DAI/USDT,499723.6839866000000,"2021-05-31T16:48:07.000Z"
DAI,Uniswap (V3),DAI/FEI,371181.1576477300000,"2021-05-31T17:00:07.000Z"
DAI,Uniswap (V2),DAI/USDC,318628.6071021200000,"2021-05-31T16:54:12.000Z"
DAI,Folgory,DAI/USDC,128365.5255180000000,"2021-05-31T16:54:12.000Z"
DAI,SwipeSwap,DAI/USDC,29949.3035366800000,"2021-05-31T16:54:08.000Z"
DAI,OpenOcean,DAI/USDC,28861.3025538000000,"2021-05-31T16:54:10.000Z"
DAI,Balancer,DAI/USDC,2320.2034152400000,"2021-05-31T16:54:08.000Z"
DAI,"1inch Exchange",DAI/SUSD,2000.0000000000000,"2021-05-31T16:54:24.000Z"
FEI,Uniswap (V3),FEI/USDC,37975242.4974232200000,"2021-05-31T16:54:07.000Z"
FEI,Uniswap (V3),FEI/USDT,4600647.5391299300000,"2021-05-31T16:48:08.000Z"
FEI,LBank,FEI/USDT,1938503.3100000000000,"2021-05-31T16:48:09.000Z"
FEI,AEX,FEI/USDT,786167.2196000000000,"2021-05-31T16:48:08.000Z"
FEI,Hoo,FEI/USDT,522237.8400000000000,"2021-05-31T16:48:10.000Z"
FEI,Hoo,FEI/USDT,520556.2200000000000,"2021-05-31T16:57:10.000Z"
FEI,MXC.COM,FEI/USDT,93201.7900000000000,"2021-05-31T17:00:13.000Z"
FEI,Gate.io,FEI/USDT,46504.3797516100000,"2021-05-31T17:01:54.000Z"
FRAX,Uniswap (V2),FRAX/USDC,446371.4420112900000,"2021-05-31T17:00:07.000Z"
FRAX,Bilaxy,FRAX/USDC,189789.4088000000000,"2021-05-31T16:54:07.000Z"
FRAX,"0x Protocol",FRAX/USDC,103674.6862204200000,"2021-05-31T16:54:20.000Z"
FRAX,"0x Protocol",FRAX/USDC,78920.6944392000000,"2021-05-31T17:00:10.000Z"
FRAX,Gate.io,FRAX/USDT,29719.3070809200000,"2021-05-31T17:01:54.000Z"
GUSD,BitMart,GUSD/USDT,6653006.3821910700000,"2021-05-31T16:54:10.000Z"
GUSD,Virtuse Exchange,GUSD/USDT,133866.9998522100000,"2021-04-21T13:09:07.000Z"
GUSD,Hoo,GUSD/USDT,23649.3300000000000,"2021-05-31T16:54:09.000Z"
GUSD,EXMO,GUSD/USD,12355.6185519000000,"2021-05-31T16:54:07.000Z"
GUSD,OKEx,GUSD/USDT,11920.6926662000000,"2021-05-31T16:56:53.000Z"
GUSD,DigiFinex,GUSD/USDT,9551.5255907400000,"2021-05-31T16:54:09.000Z"
GUSD,CEX.IO,GUSD/USDT,8093.1400000000000,"2021-05-31T16:54:07.000Z"
GUSD,XT.COM,GUSD/USDT,3320.0486000000000,"2021-05-31T16:54:09.000Z"
GUSD,Hotbit,GUSD/USDT,3086.0468262900000,"2021-05-31T16:54:09.000Z"
GUSD,Bitstamp,GUSD/USD,500.0858100000000,"2021-05-31T16:47:53.000Z"
GUSD,CEX.IO,GUSD/USD,97.6600000000000,"2021-05-31T16:54:07.000Z"
HUSD,MDEX,HUSD/USDT,1007976944.5876988000000,"2021-05-31T16:48:13.000Z"
HUSD,Gate.io,HUSD/USDT,120158.5447560200000,"2021-05-31T16:57:53.000Z"
HUSD,Hoo,HUSD/USDT,32232.2200000000000,"2021-05-31T16:57:10.000Z"
LUSD,"1inch Exchange",LUSD/USDC,27112.5607060100000,"2021-05-31T02:00:19.000Z"
PAX,BHEX (BlueHelix Exchange),PAX/HUSD,6306725.7006491400000,"2021-05-31T16:57:11.000Z"
PAX,Binance,PAX/USDT,4781099.8600000000000,"2021-05-31T16:49:54.000Z"
PAX,DigiFinex,PAX/USDT,1124530.0823739500000,"2021-05-31T16:48:10.000Z"
PAX,Coinsbit,PAX/USDT,998221.0144495000000,"2021-05-31T16:48:39.000Z"
PAX,VCC Exchange,PAX/USDT,427045.4725572800000,"2021-05-31T16:48:09.000Z"
PAX,Bitrue,PAX/USDT,410683.1241620800000,"2021-05-31T16:48:09.000Z"
PAX,P2PB2B,PAX/USD,374822.0400000000000,"2021-05-31T16:54:15.000Z"
PAX,P2PB2B,PAX/USD,374822.0400000000000,"2021-05-31T16:54:15.000Z"
PAX,WazirX,PAX/USDT,246656.1000000000000,"2021-05-31T16:54:09.000Z"
PAX,WazirX,PAX/USDT,246656.1000000000000,"2021-05-31T16:54:09.000Z"
PAX,Huobi Global,PAX/HUSD,167550.5087199900000,"2021-05-31T16:59:53.000Z"
PAX,CoinZoom,PAX/USD,300.0000000000000,"2021-05-31T16:54:11.000Z"
PAX,CoinZoom,PAX/USD,300.0000000000000,"2021-05-31T16:54:11.000Z"
PAX,Blockchain.com,PAX/USD,0.0000000000000,"2021-05-31T16:54:09.000Z"
PAX,Blockchain.com,PAX/USD,0.0000000000000,"2021-05-31T16:54:09.000Z"
RSR,IDCM,RSR/USDT,1146092131.8800000000000,"2021-05-31T16:48:11.000Z"
RSR,Binance,RSR/USDT,937783005.0000000000000,"2021-05-31T16:57:44.000Z"
RSR,TOKENCAN,RSR/USDT,893125484.4862140000000,"2021-05-31T16:57:12.000Z"
RSR,CoinTiger,RSR/USDT,877252477.6541530000000,"2021-05-31T16:57:46.000Z"
RSR,Binance,RSR/USDT,444154563.8000000000000,"2021-05-31T16:58:54.000Z"
RSR,OKEx,RSR/USDT,308544763.4448974000000,"2021-05-31T16:58:53.000Z"
RSR,FTX,RSR/USD,283094423.7103227400000,"2021-05-31T16:57:19.000Z"
RSR,Huobi Global,RSR/USDT,157371942.0532803200000,"2021-05-31T16:58:53.000Z"
RSR,Bilaxy,RSR/USDT,121779534.5100000000000,"2021-05-31T16:54:07.000Z"
RSR,Huobi Global,RSR/USD,77568201.1935208900000,"2021-05-31T16:57:44.000Z"
RSR,BitMart,RSR/USDT,56666342.5362939500000,"2021-05-31T16:57:10.000Z"
RSR,DigiFinex,RSR/USDT,56649056.2789264800000,"2021-05-31T16:57:13.000Z"
RSR,Hotbit,RSR/USDT,51923096.3275956200000,"2021-05-31T16:57:13.000Z"
RSR,FTX,RSR/USD,22608285.4128440400000,"2021-05-31T16:56:53.000Z"
RSR,BHEX (BlueHelix Exchange),RSR/USDT,15751657.4801714100000,"2021-05-31T16:57:11.000Z"
RSR,Xtheta Global,RSR/USDT,15751657.4801714100000,"2021-05-31T16:57:11.000Z"
RSR,Dsdaq,RSR/USDT,15751657.4801714100000,"2021-05-31T16:57:12.000Z"
RSR,Poloniex,RSR/USDT,10514429.9554614500000,"2021-05-31T16:58:53.000Z"
RSR,KickEX,RSR/USDT,10308958.8192000000000,"2021-05-31T16:57:12.000Z"
RSR,Poloniex,RSR/USDT,10293172.7846763800000,"2021-05-31T16:49:53.000Z"
RSR,Gate.io,RSR/USDT,10221414.1527680600000,"2021-05-31T16:58:53.000Z"
RSR,KickEX,RSR/USDT,10198775.7728947400000,"2021-05-31T16:48:08.000Z"
RSR,Gate.io,RSR/USDT,10083359.9295671700000,"2021-05-31T16:49:54.000Z"
RSR,Liquid,RSR/USDT,9413189.7964794600000,"2021-05-31T16:58:53.000Z"
RSR,Liquid,RSR/USDT,9402932.9099670000000,"2021-05-31T16:49:53.000Z"
RSR,Hoo,RSR/USDT,5945716.0800000000000,"2021-05-31T16:57:10.000Z"
RSR,ZB.COM,RSR/USDT,5831233.8500000000000,"2021-05-31T16:57:11.000Z"
RSR,MXC.COM,RSR/USDT,5248158.8400000000000,"2021-05-31T16:57:14.000Z"
RSR,Coinsbit,RSR/USDT,4622760.1370784800000,"2021-05-31T16:57:11.000Z"
RSR,BiONE,RSR/USDT,4259287.1062922900000,"2021-05-31T16:57:13.000Z"
RSR,ProBit Exchange,RSR/USDT,3950372.5292686300000,"2021-05-31T16:57:13.000Z"
RSR,Bittrex,RSR/USDT,3069590.6033045000000,"2021-05-31T16:57:53.000Z"
RSR,Fatbtc,RSR/USDT,2075179.0000000000000,"2021-05-31T16:57:13.000Z"
RSR,Emirex,RSR/USDT,1857319.9951141800000,"2021-05-31T16:57:12.000Z"
RSR,LATOKEN,RSR/USDT,1612021.3184084900000,"2021-05-31T16:57:10.000Z"
RSR,CEX.IO,RSR/USD,1398166.4405030000000,"2021-05-31T16:57:07.000Z"
RSR,CoinEx,RSR/USDT,1248423.9330191700000,"2021-05-31T16:58:53.000Z"
RSR,WazirX,RSR/USDT,1241094.9000000000000,"2021-05-31T16:57:12.000Z"
RSR,ATOMARS,RSR/USDT,1121818.3000000000000,"2021-05-31T16:57:10.000Z"
RSR,Huobi Korea,RSR/USDT,557554.9805679300000,"2021-05-31T16:57:10.000Z"
RSR,XT.COM,RSR/USDT,545133.5400000000000,"2021-05-31T16:57:11.000Z"
RSR,CoinDCX,RSR/USDT,118982.1394402800000,"2021-05-31T16:57:13.000Z"
RSR,HitBTC,RSR/USDT,53609.4838396800000,"2021-05-31T16:57:10.000Z"
SUSD,Binance,SUSD/USDT,352978.6800000000000,"2021-05-31T16:55:54.000Z"
SUSD,"1inch Exchange",SUSD/USDT,295642.4835494700000,"2021-05-31T16:54:24.000Z"
SUSD,Hoo,SUSD/USDT,28690.9800000000000,"2021-02-19T11:00:07.000Z"
SUSD,KuCoin,SUSD/USDT,12862.8600784800000,"2021-05-31T16:55:53.000Z"
TUSD,Binance,TUSD/USDT,14174594.6400000000000,"2021-05-31T16:52:54.000Z"
TUSD,Coinsbit,TUSD/USDT,7039491.1102800000000,"2021-05-31T16:48:39.000Z"
TUSD,Binance,TUSD/BUSD,4243316.1000000000000,"2021-05-31T16:58:54.000Z"
TUSD,IndoEx,TUSD/USDT,2998319.5309071300000,"2021-05-31T16:48:07.000Z"
TUSD,XT.COM,TUSD/USDT,2855031.5200000000000,"2021-05-31T16:51:08.000Z"
TUSD,BitMart,TUSD/USDT,2421840.6417193800000,"2021-05-31T16:48:08.000Z"
TUSD,GokuMarket,TUSD/USDT,2215121.7915328800000,"2021-05-31T16:51:08.000Z"
TUSD,DigiFinex,TUSD/USDT,2202665.5061646200000,"2021-05-31T16:48:10.000Z"
TUSD,Bitrue,TUSD/USDT,1883566.4610688600000,"2021-05-31T16:51:08.000Z"
TUSD,VCC Exchange,TUSD/USDT,1674605.5013110500000,"2021-05-31T16:48:09.000Z"
TUSD,Bittrex,TUSD/USD,812114.3085846000000,"2021-05-31T16:52:53.000Z"
TUSD,Mexo Exchange,TUSD/USDT,480099.3204053200000,"2021-05-31T16:48:11.000Z"
TUSD,LATOKEN,TUSD/USDT,245073.7386449200000,"2021-05-31T16:51:09.000Z"
TUSD,OKEx,TUSD/USDT,168697.9762977400000,"2021-05-31T16:52:53.000Z"
TUSD,Huobi Global,TUSD/HUSD,145823.9183939500000,"2021-05-31T16:58:53.000Z"
TUSD,LocalTrade,TUSD/USDT,138216.3198039800000,"2021-05-31T16:51:09.000Z"
TUSD,WazirX,TUSD/USDT,137367.6100000000000,"2021-05-31T16:51:11.000Z"
TUSD,Bitsdaq,TUSD/USDT,98508.1961339600000,"2021-05-31T16:51:07.000Z"
TUSD,Bittrex,TUSD/USDT,98331.3115599000000,"2021-05-31T16:52:53.000Z"
TUSD,Bithumb Global,TUSD/USDT,91700.8100000000000,"2021-05-31T16:52:53.000Z"
TUSD,Alterdice,TUSD/USD,88084.5800000000000,"2021-05-13T09:12:08.000Z"
TUSD,MXC.COM,TUSD/USDT,76994.8000000000000,"2021-05-31T16:51:17.000Z"
TUSD,Hoo,TUSD/USDT,63253.2100000000000,"2021-05-31T16:51:08.000Z"
TUSD,ATOMARS,TUSD/USDT,57454.9400000000000,"2021-05-31T16:51:13.000Z"
TUSD,Exrates,TUSD/USD,56381.8300000000000,"2021-05-31T16:51:10.000Z"
TUSD,Flybit,TUSD/USDT,28550.3667507300000,"2021-05-31T16:51:09.000Z"
TUSD,Folgory,TUSD/USDT,26873.7715800000000,"2021-05-31T16:51:09.000Z"
TUSD,WhiteBIT,TUSD/USDT,21825.0500000000000,"2021-05-31T16:51:07.000Z"
TUSD,CEX.IO,TUSD/USDT,10897.3082490000000,"2021-05-31T16:51:07.000Z"
TUSD,ProBit Exchange,TUSD/USDT,10750.7881425100000,"2021-05-31T16:51:07.000Z"
TUSD,"1inch Exchange",TUSD/USDC,7016.5496322400000,"2021-05-31T16:54:24.000Z"
TUSD,HitBTC,TUSD/USDC,6886.9198320500000,"2021-05-31T16:51:08.000Z"
TUSD,Changelly PRO,TUSD/USDC,6886.9198320500000,"2021-05-31T16:51:09.000Z"
